,scientific_name,park_name,observations
14172,Desmodium ciliare,Yellowstone National Park,265
18845,Desmodium ciliare,Bryce National Park,101
3921,Desmodium cuspidatum,Yosemite National Park,120
4319,Desmodium cuspidatum,Great Smoky Mountains National Park,26
5103,Desmodium cuspidatum,Yellowstone National Park,251
6597,Desmodium cuspidatum,Bryce National Park,110
2535,Desmodium glabellum,Bryce National Park,96
3285,Desmodium glabellum,Yellowstone National Park,246
4696,Desmodium glabellum,Yosemite National Park,130
6673,Desmodium glabellum,Great Smoky Mountains National Park,51
11718,Desmodium glutinosum,Yosemite National Park,124
13490,Desmodium glutinosum,Bryce National Park,118
22211,Desmodium glutinosum,Great Smoky Mountains National Park,76
22427,Desmodium glutinosum,Yellowstone National Park,255
555,Desmodium laevigatum,Great Smoky Mountains National Park,61
16491,Desmodium laevigatum,Yosemite National Park,142
22588,Desmodium laevigatum,Bryce National Park,113
22623,Desmodium laevigatum,Yellowstone National Park,288
10772,Desmodium marilandicum,Yellowstone National Park,229
16303,Desmodium marilandicum,Bryce National Park,82
17892,Desmodium marilandicum,Great Smoky Mountains National Park,71
18195,Desmodium marilandicum,Yosemite National Park,114
1025,Desmodium nudiflorum,Yellowstone National Park,253
2983,Desmodium nudiflorum,Bryce National Park,135
4118,Desmodium nudiflorum,Yosemite National Park,144
14040,Desmodium nudiflorum,Great Smoky Mountains National Park,98
2803,Desmodium nuttallii,Bryce National Park,97
4097,Desmodium nuttallii,Yosemite National Park,161
10700,Desmodium nuttallii,Yellowstone National Park,222
13345,Desmodium nuttallii,Great Smoky Mountains National Park,63
4814,Desmodium ochroleucum,Bryce National Park,109
5121,Desmodium ochroleucum,Great Smoky Mountains National Park,74
9295,Desmodium ochroleucum,Yosemite National Park,149
15904,Desmodium ochroleucum,Yellowstone National Park,272
223,Desmodium paniculatum var. paniculatum,Yellowstone National Park,206
12702,Desmodium paniculatum var. paniculatum,Yosemite National Park,130
13295,Desmodium paniculatum var. paniculatum,Great Smoky Mountains National Park,69
17696,Desmodium paniculatum var. paniculatum,Bryce National Park,122
17885,Desmodium pauciflorum,Great Smoky Mountains National Park,76
18375,Desmodium pauciflorum,Bryce National Park,101
19682,Desmodium pauciflorum,Yellowstone National Park,219
20915,Desmodium pauciflorum,Yosemite National Park,152
2805,Desmodium perplexum,Yosemite National Park,172
11489,Desmodium perplexum,Great Smoky Mountains National Park,49
20383,Desmodium perplexum,Bryce National Park,119
20969,Desmodium perplexum,Yellowstone National Park,257
1844,Desmodium rotundifolium,Yellowstone National Park,245
3566,Desmodium rotundifolium,Bryce National Park,86
6350,Desmodium rotundifolium,Great Smoky Mountains National Park,59
10816,Desmodium rotundifolium,Yosemite National Park,155
7397,Desmodium viridiflorum,Great Smoky Mountains National Park,81
7874,Desmodium viridiflorum,Bryce National Park,73
19900,Desmodium viridiflorum,Yellowstone National Park,255
22964,Desmodium viridiflorum,Yosemite National Park,147
2814,Desmognathus conanti,Yosemite National Park,143
6583,Desmognathus conanti,Bryce National Park,92
20384,Desmognathus conanti,Yellowstone National Park,238
21875,Desmognathus conanti,Great Smoky Mountains National Park,48
5765,Desmognathus imitator,Bryce National Park,103
20665,Desmognathus imitator,Yellowstone National Park,245
21719,Desmognathus imitator,Great Smoky Mountains National Park,65
21950,Desmognathus imitator,Yosemite National Park,117
17454,Desmognathus marmoratus,Yellowstone National Park,237
20122,Desmognathus marmoratus,Bryce National Park,96
20223,Desmognathus marmoratus,Great Smoky Mountains National Park,79
21153,Desmognathus marmoratus,Yosemite National Park,153
11778,Desmognathus monticola,Bryce National Park,76
15966,Desmognathus monticola,Yosemite National Park,128
18976,Desmognathus monticola,Great Smoky Mountains National Park,88
19554,Desmognathus monticola,Yellowstone National Park,236
6651,Desmognathus ocoee,Yosemite National Park,156
9256,Desmognathus ocoee,Bryce National Park,55
12596,Desmognathus ocoee,Yellowstone National Park,239
22145,Desmognathus ocoee,Great Smoky Mountains National Park,39
1281,Desmognathus quadramaculatus,Great Smoky Mountains National Park,58
8124,Desmognathus quadramaculatus,Yosemite National Park,172
10927,Desmognathus quadramaculatus,Yellowstone National Park,255
13554,Desmognathus quadramaculatus,Bryce National Park,117
1308,Desmognathus santeetlah,Bryce National Park,71
11230,Desmognathus santeetlah,Yosemite National Park,184
11743,Desmognathus santeetlah,Great Smoky Mountains National Park,92
15025,Desmognathus santeetlah,Yellowstone National Park,254
386,Desmognathus wrighti,Yellowstone National Park,201
9105,Desmognathus wrighti,Bryce National Park,95
16902,Desmognathus wrighti,Great Smoky Mountains National Park,85
20322,Desmognathus wrighti,Yosemite National Park,127
6302,Diadophis punctatus,Bryce National Park,76
14546,Diadophis punctatus,Great Smoky Mountains National Park,49
15738,Diadophis punctatus,Yosemite National Park,162
18668,Diadophis punctatus,Yellowstone National Park,245
5163,Diadophis punctatus edwardsii,Bryce National Park,129
8073,Diadophis punctatus edwardsii,Yellowstone National Park,255
13249,Diadophis punctatus edwardsii,Yosemite National Park,170
14444,Diadophis punctatus edwardsii,Great Smoky Mountains National Park,61
1948,Dianthus armeria,Great Smoky Mountains National Park,70
3822,Dianthus armeria,Yellowstone National Park,250
8974,Dianthus armeria,Yosemite National Park,139
11377,Dianthus armeria,Yellowstone National Park,223
11863,Dianthus armeria,Yosemite National Park,125
16853,Dianthus armeria,Bryce National Park,81
21958,Dianthus armeria,Great Smoky Mountains National Park,91
23156,Dianthus armeria,Bryce National Park,77
714,Dianthus barbatus,Bryce National Park,85
1213,Dianthus barbatus,Bryce National Park,110
3044,Dianthus barbatus,Yellowstone National Park,249
6858,Dianthus barbatus,Yosemite National Park,131
9526,Dianthus barbatus,Great Smoky Mountains National Park,111
18990,Dianthus barbatus,Great Smoky Mountains National Park,74
21484,Dianthus barbatus,Yosemite National Park,130
21785,Dianthus barbatus,Yellowstone National Park,250
2031,Diarrhena americana,Bryce National Park,94
3524,Diarrhena americana,Great Smoky Mountains National Park,83
7154,Diarrhena americana,Yosemite National Park,127
16457,Diarrhena americana,Yellowstone National Park,236
8853,Dicentra canadensis,Yellowstone National Park,243
9078,Dicentra canadensis,Bryce National Park,117
10407,Dicentra canadensis,Great Smoky Mountains National Park,74
22822,Dicentra canadensis,Yosemite National Park,148
961,Dicentra chrysantha,Bryce National Park,107
13087,Dicentra chrysantha,Yellowstone National Park,253
18021,Dicentra chrysantha,Great Smoky Mountains National Park,98
22995,Dicentra chrysantha,Yosemite National Park,136
2662,Dicentra cucullaria,Bryce National Park,102
18071,Dicentra cucullaria,Yellowstone National Park,252
21864,Dicentra cucullaria,Yosemite National Park,142
22442,Dicentra cucullaria,Great Smoky Mountains National Park,79
2522,Dicentra eximia,Yosemite National Park,128
2916,Dicentra eximia,Yellowstone National Park,263
9380,Dicentra eximia,Bryce National Park,144
9603,Dicentra eximia,Great Smoky Mountains National Park,114
2869,Dicentra formosa,Yosemite National Park,99
16640,Dicentra formosa,Yellowstone National Park,248
18738,Dicentra formosa,Bryce National Park,97
21523,Dicentra formosa,Great Smoky Mountains National Park,73
2766,Dicentra pauciflora,Great Smoky Mountains National Park,45
16954,Dicentra pauciflora,Bryce National Park,75
18462,Dicentra pauciflora,Yosemite National Park,158
20695,Dicentra pauciflora,Yellowstone National Park,232
3638,Dicentra uniflora,Yellowstone National Park,245
8567,Dicentra uniflora,Great Smoky Mountains National Park,72
18210,Dicentra uniflora,Bryce National Park,124
18617,Dicentra uniflora,Yosemite National Park,119
1152,Dichanthelium acuminatum,Yellowstone National Park,235
4465,Dichanthelium acuminatum,Great Smoky Mountains National Park,82
19070,Dichanthelium acuminatum,Yosemite National Park,188
22951,Dichanthelium acuminatum,Bryce National Park,71
118,Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123
3742,Dichanthelium acuminatum var. acuminatum,Yellowstone National Park,225
5664,Dichanthelium acuminatum var. acuminatum,Bryce National Park,87
21726,Dichanthelium acuminatum var. acuminatum,Great Smoky Mountains National Park,62
2095,Dichanthelium acuminatum var. fasciculatum,Yosemite National Park,170
11059,Dichanthelium acuminatum var. fasciculatum,Bryce National Park,81
12141,Dichanthelium acuminatum var. fasciculatum,Great Smoky Mountains National Park,88
14522,Dichanthelium acuminatum var. fasciculatum,Yellowstone National Park,257
5610,Dichanthelium acuminatum var. lindheimeri,Great Smoky Mountains National Park,58
7533,Dichanthelium acuminatum var. lindheimeri,Yosemite National Park,135
9419,Dichanthelium acuminatum var. lindheimeri,Yellowstone National Park,259
19857,Dichanthelium acuminatum var. lindheimeri,Bryce National Park,98
4635,Dichanthelium boscii,Yosemite National Park,140
4739,Dichanthelium boscii,Bryce National Park,87
15313,Dichanthelium boscii,Yellowstone National Park,262
16238,Dichanthelium boscii,Great Smoky Mountains National Park,53
7647,Dichanthelium clandestinum,Great Smoky Mountains National Park,80
10077,Dichanthelium clandestinum,Yosemite National Park,159
11970,Dichanthelium clandestinum,Bryce National Park,75
14361,Dichanthelium clandestinum,Yellowstone National Park,249
6181,Dichanthelium commutatum,Yosemite National Park,102
15731,Dichanthelium commutatum,Great Smoky Mountains National Park,88
16073,Dichanthelium commutatum,Bryce National Park,72
16596,Dichanthelium commutatum,Yellowstone National Park,230
19657,Dichanthelium depauperatum,Great Smoky Mountains National Park,88
20273,Dichanthelium depauperatum,Bryce National Park,80
22309,Dichanthelium depauperatum,Yellowstone National Park,255
22653,Dichanthelium depauperatum,Yosemite National Park,162
180,Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242
11416,Dichanthelium dichotomum var. dichotomum,Bryce National Park,105
18606,Dichanthelium dichotomum var. dichotomum,Yosemite National Park,168
22499,Dichanthelium dichotomum var. dichotomum,Great Smoky Mountains National Park,131
3028,Dichanthelium dichotomum var. ensifolium,Yosemite National Park,159
4192,Dichanthelium dichotomum var. ensifolium,Bryce National Park,89
6725,Dichanthelium dichotomum var. ensifolium,Great Smoky Mountains National Park,84
19661,Dichanthelium dichotomum var. ensifolium,Yellowstone National Park,237
6443,Dichanthelium latifolium,Great Smoky Mountains National Park,88
7209,Dichanthelium latifolium,Yellowstone National Park,242
11108,Dichanthelium latifolium,Yosemite National Park,193
22447,Dichanthelium latifolium,Bryce National Park,89
1067,Dichanthelium laxiflorum,Bryce National Park,117
4661,Dichanthelium laxiflorum,Yellowstone National Park,239
6045,Dichanthelium laxiflorum,Yosemite National Park,156
9676,Dichanthelium laxiflorum,Great Smoky Mountains National Park,59
12006,Dichanthelium linearifolium,Yosemite National Park,147
16983,Dichanthelium linearifolium,Yellowstone National Park,242
17438,Dichanthelium linearifolium,Bryce National Park,119
18998,Dichanthelium linearifolium,Great Smoky Mountains National Park,71
1114,Dichanthelium longiligulatum,Bryce National Park,116
5258,Dichanthelium longiligulatum,Yosemite National Park,170
14436,Dichanthelium longiligulatum,Great Smoky Mountains National Park,76
14577,Dichanthelium longiligulatum,Yellowstone National Park,220
5126,Dichanthelium meridionale,Great Smoky Mountains National Park,101
18280,Dichanthelium meridionale,Bryce National Park,100
19958,Dichanthelium meridionale,Yellowstone National Park,226
22093,Dichanthelium meridionale,Yosemite National Park,144
5618,Dichanthelium sabulorum var. thinium,Yosemite National Park,139
11085,Dichanthelium sabulorum var. thinium,Bryce National Park,77
12677,Dichanthelium sabulorum var. thinium,Yellowstone National Park,223
19064,Dichanthelium sabulorum var. thinium,Great Smoky Mountains National Park,119
794,Dichanthelium scabriusculum,Yosemite National Park,155
3463,Dichanthelium scabriusculum,Yellowstone National Park,257
7704,Dichanthelium scabriusculum,Bryce National Park,100
13361,Dichanthelium scabriusculum,Great Smoky Mountains National Park,94
2045,Dichanthelium scoparium,Yellowstone National Park,194
2302,Dichanthelium scoparium,Bryce National Park,99
13553,Dichanthelium scoparium,Yosemite National Park,171
20586,Dichanthelium scoparium,Great Smoky Mountains National Park,69
5415,Dichanthelium sphaerocarpon,Yosemite National Park,148
5778,Dichanthelium sphaerocarpon,Yellowstone National Park,234
11842,Dichanthelium sphaerocarpon,Great Smoky Mountains National Park,71
21893,Dichanthelium sphaerocarpon,Bryce National Park,102
8262,Dichanthelium sphaerocarpon var. isophyllum,Yosemite National Park,144
13450,Dichanthelium sphaerocarpon var. isophyllum,Yellowstone National Park,259
15529,Dichanthelium sphaerocarpon var. isophyllum,Great Smoky Mountains National Park,88
19476,Dichanthelium sphaerocarpon var. isophyllum,Bryce National Park,116
4695,Dichanthelium sphaerocarpon var. sphaerocarpon,Yosemite National Park,167
5940,Dichanthelium sphaerocarpon var. sphaerocarpon,Yellowstone National Park,236
9012,Dichanthelium sphaerocarpon var. sphaerocarpon,Bryce National Park,106
22291,Dichanthelium sphaerocarpon var. sphaerocarpon,Great Smoky Mountains National Park,76
1288,Dichanthelium villosissimum var. villosissimum,Bryce National Park,57
1722,Dichanthelium villosissimum var. villosissimum,Yellowstone National Park,254
19931,Dichanthelium villosissimum var. villosissimum,Great Smoky Mountains National Park,71
21605,Dichanthelium villosissimum var. villosissimum,Yosemite National Park,155
8416,Dichelostemma capitatum ssp. capitatum,Bryce National Park,110
8765,Dichelostemma capitatum ssp. capitatum,Yellowstone National Park,252
22156,Dichelostemma capitatum ssp. capitatum,Great Smoky Mountains National Park,88
22337,Dichelostemma capitatum ssp. capitatum,Yosemite National Park,140
5866,Dichelostemma multiflorum,Bryce National Park,107
11149,Dichelostemma multiflorum,Great Smoky Mountains National Park,112
16583,Dichelostemma multiflorum,Yellowstone National Park,252
17253,Dichelostemma multiflorum,Yosemite National Park,162
2713,Dichelostemma volubile,Great Smoky Mountains National Park,67
5533,Dichelostemma volubile,Bryce National Park,116
19375,Dichelostemma volubile,Yellowstone National Park,206
19611,Dichelostemma volubile,Yosemite National Park,127
4563,Dichodontium pellucidum,Yosemite National Park,146
5181,Dichodontium pellucidum,Bryce National Park,90
12891,Dichodontium pellucidum,Yellowstone National Park,266
18183,Dichodontium pellucidum,Great Smoky Mountains National Park,87
1070,Dicranella heteromalla,Great Smoky Mountains National Park,74
5467,Dicranella heteromalla,Yosemite National Park,145
8869,Dicranella heteromalla,Yellowstone National Park,229
9231,Dicranella heteromalla,Bryce National Park,97
1271,Dicranella rufescens,Great Smoky Mountains National Park,78
4745,Dicranella rufescens,Bryce National Park,59
19695,Dicranella rufescens,Yellowstone National Park,255
23294,Dicranella rufescens,Yosemite National Park,171
5230,Dicranella varia,Great Smoky Mountains National Park,82
7354,Dicranella varia,Bryce National Park,78
12909,Dicranella varia,Yellowstone National Park,241
13109,Dicranella varia,Yosemite National Park,141
655,Dicranodontium asperulum,Yellowstone National Park,279
9420,Dicranodontium asperulum,Great Smoky Mountains National Park,64
13508,Dicranodontium asperulum,Bryce National Park,104
14057,Dicranodontium asperulum,Yosemite National Park,163
5338,Dicranodontium denudatum,Bryce National Park,110
8408,Dicranodontium denudatum,Yosemite National Park,179
9931,Dicranodontium denudatum,Great Smoky Mountains National Park,67
18244,Dicranodontium denudatum,Yellowstone National Park,249
988,Dicranum condensatum,Yosemite National Park,148
4556,Dicranum condensatum,Yellowstone National Park,235
6153,Dicranum condensatum,Bryce National Park,83
21006,Dicranum condensatum,Great Smoky Mountains National Park,119
3034,Dicranum flagellare,Bryce National Park,107
11807,Dicranum flagellare,Great Smoky Mountains National Park,96
15702,Dicranum flagellare,Yosemite National Park,105
17738,Dicranum flagellare,Yellowstone National Park,264
4722,Dicranum fulvum,Bryce National Park,91
5287,Dicranum fulvum,Great Smoky Mountains National Park,63
5711,Dicranum fulvum,Yosemite National Park,123
10695,Dicranum fulvum,Yellowstone National Park,267
11018,Dicranum fuscescens,Yellowstone National Park,227
18260,Dicranum fuscescens,Great Smoky Mountains National Park,97
18721,Dicranum fuscescens,Bryce National Park,100
23083,Dicranum fuscescens,Yosemite National Park,158
1656,Dicranum montanum,Yellowstone National Park,242
4746,Dicranum montanum,Yosemite National Park,118
5234,Dicranum montanum,Bryce National Park,81
7324,Dicranum montanum,Great Smoky Mountains National Park,58
2448,Dicranum polysetum,Yosemite National Park,171
11795,Dicranum polysetum,Bryce National Park,111
14671,Dicranum polysetum,Yellowstone National Park,272
22943,Dicranum polysetum,Great Smoky Mountains National Park,98
14478,Dicranum scoparium,Great Smoky Mountains National Park,82
19650,Dicranum scoparium,Yosemite National Park,174
21302,Dicranum scoparium,Yellowstone National Park,249
22660,Dicranum scoparium,Bryce National Park,115
4449,Dicranum spurium,Great Smoky Mountains National Park,47
6284,Dicranum spurium,Yellowstone National Park,248
9375,Dicranum spurium,Yosemite National Park,132
21326,Dicranum spurium,Bryce National Park,106
4004,Dicranum undulatum,Yellowstone National Park,238
5815,Dicranum undulatum,Yosemite National Park,166
6427,Dicranum undulatum,Great Smoky Mountains National Park,64
12696,Dicranum undulatum,Bryce National Park,92
3764,Dicranum viride,Bryce National Park,77
10910,Dicranum viride,Yellowstone National Park,252
11157,Dicranum viride,Great Smoky Mountains National Park,61
12291,Dicranum viride,Yosemite National Park,115
1246,Didelphis virginiana,Bryce National Park,105
3011,Didelphis virginiana,Yosemite National Park,139
4589,Didelphis virginiana,Great Smoky Mountains National Park,57
5039,Didelphis virginiana,Bryce National Park,103
7193,Didelphis virginiana,Yellowstone National Park,235
7208,Didelphis virginiana,Great Smoky Mountains National Park,117
8195,Didelphis virginiana,Yosemite National Park,151
10541,Didelphis virginiana,Yellowstone National Park,230
3656,Didymodon fallax,Great Smoky Mountains National Park,81
6102,Didymodon fallax,Bryce National Park,84
7732,Didymodon fallax,Yosemite National Park,137
22900,Didymodon fallax,Yellowstone National Park,245
92,Didymodon fallax var. reflexus,Yellowstone National Park,208
1481,Didymodon fallax var. reflexus,Bryce National Park,91
15420,Didymodon fallax var. reflexus,Yosemite National Park,163
21071,Didymodon fallax var. reflexus,Great Smoky Mountains National Park,67
7317,Didymodon rigidulus,Bryce National Park,88
18236,Didymodon rigidulus,Great Smoky Mountains National Park,71
21317,Didymodon rigidulus,Yosemite National Park,167
22878,Didymodon rigidulus,Yellowstone National Park,232
4531,Diervilla lonicera,Yosemite National Park,173
17763,Diervilla lonicera,Yellowstone National Park,246
19938,Diervilla lonicera,Great Smoky Mountains National Park,93
20813,Diervilla lonicera,Bryce National Park,104
349,Diervilla sessilifolia,Great Smoky Mountains National Park,81
1035,Diervilla sessilifolia,Yosemite National Park,190
2431,Diervilla sessilifolia,Bryce National Park,102
16839,Diervilla sessilifolia,Yellowstone National Park,231
1068,Digitalis purpurea,Great Smoky Mountains National Park,67
1568,Digitalis purpurea,Yosemite National Park,114
1710,Digitalis purpurea,Great Smoky Mountains National Park,47
13566,Digitalis purpurea,Bryce National Park,89
16234,Digitalis purpurea,Yosemite National Park,177
17923,Digitalis purpurea,Yellowstone National Park,250
18016,Digitalis purpurea,Bryce National Park,68
21586,Digitalis purpurea,Yellowstone National Park,253
5763,Digitaria ciliaris,Bryce National Park,91
13550,Digitaria ciliaris,Yosemite National Park,155
14393,Digitaria ciliaris,Great Smoky Mountains National Park,87
19998,Digitaria ciliaris,Yellowstone National Park,233
4894,Digitaria filiformis,Great Smoky Mountains National Park,81
6463,Digitaria filiformis,Yosemite National Park,167
13017,Digitaria filiformis,Bryce National Park,83
13032,Digitaria filiformis,Yellowstone National Park,274
4750,Digitaria ischaemum,Yellowstone National Park,252
7728,Digitaria ischaemum,Yellowstone National Park,246
9568,Digitaria ischaemum,Yosemite National Park,147
10328,Digitaria ischaemum,Yosemite National Park,150
14289,Digitaria ischaemum,Great Smoky Mountains National Park,23
14897,Digitaria ischaemum,Bryce National Park,102
16804,Digitaria ischaemum,Great Smoky Mountains National Park,71
21180,Digitaria ischaemum,Bryce National Park,69
440,Digitaria sanguinalis,Yosemite National Park,144
2067,Digitaria sanguinalis,Great Smoky Mountains National Park,91
4042,Digitaria sanguinalis,Great Smoky Mountains National Park,56
7695,Digitaria sanguinalis,Yellowstone National Park,228
10726,Digitaria sanguinalis,Bryce National Park,112
13766,Digitaria sanguinalis,Yellowstone National Park,261
19078,Digitaria sanguinalis,Yosemite National Park,137
23137,Digitaria sanguinalis,Bryce National Park,97
132,Digitaria violascens,Yosemite National Park,132
13391,Digitaria violascens,Yellowstone National Park,270
17594,Digitaria violascens,Great Smoky Mountains National Park,78
18274,Digitaria violascens,Bryce National Park,112
569,Diodia teres,Great Smoky Mountains National Park,102
4636,Diodia teres,Yosemite National Park,125
21622,Diodia teres,Yellowstone National Park,266
22099,Diodia teres,Bryce National Park,88
1106,Diodia virginiana,Bryce National Park,87
1746,Diodia virginiana,Great Smoky Mountains National Park,83
12959,Diodia virginiana,Yellowstone National Park,243
21481,Diodia virginiana,Yosemite National Park,125
13802,Dioscorea oppositifolia,Yosemite National Park,161
19098,Dioscorea oppositifolia,Yellowstone National Park,230
22149,Dioscorea oppositifolia,Bryce National Park,96
22764,Dioscorea oppositifolia,Great Smoky Mountains National Park,41
5161,Dioscorea quaternata,Yosemite National Park,150
5477,Dioscorea quaternata,Great Smoky Mountains National Park,58
10308,Dioscorea quaternata,Yellowstone National Park,201
21443,Dioscorea quaternata,Bryce National Park,102
6307,Dioscorea villosa,Great Smoky Mountains National Park,68
9437,Dioscorea villosa,Yosemite National Park,139
12650,Dioscorea villosa,Bryce National Park,121
16664,Dioscorea villosa,Yellowstone National Park,242
4475,Diospyros virginiana,Great Smoky Mountains National Park,97
7188,Diospyros virginiana,Bryce National Park,71
15678,Diospyros virginiana,Yellowstone National Park,238
17106,Diospyros virginiana,Yosemite National Park,145
1683,Diphylleia cymosa,Great Smoky Mountains National Park,50
5391,Diphylleia cymosa,Yosemite National Park,185
7476,Diphylleia cymosa,Yellowstone National Park,257
17865,Diphylleia cymosa,Bryce National Park,117
9,Diphyscium cumberlandianum,Yellowstone National Park,250
838,Diphyscium cumberlandianum,Yosemite National Park,123
14036,Diphyscium cumberlandianum,Great Smoky Mountains National Park,51
14058,Diphyscium cumberlandianum,Bryce National Park,93
1820,Diphyscium foliosum,Yellowstone National Park,239
8183,Diphyscium foliosum,Yosemite National Park,152
10200,Diphyscium foliosum,Bryce National Park,95
15271,Diphyscium foliosum,Great Smoky Mountains National Park,36
857,Diplazium pycnocarpon,Yosemite National Park,133
1345,Diplazium pycnocarpon,Yellowstone National Park,270
3218,Diplazium pycnocarpon,Great Smoky Mountains National Park,74
20302,Diplazium pycnocarpon,Bryce National Park,96
601,Dipsacus fullonum,Yellowstone National Park,239
3870,Dipsacus fullonum,Yellowstone National Park,256
4859,Dipsacus fullonum,Bryce National Park,117
12801,Dipsacus fullonum,Bryce National Park,116
17981,Dipsacus fullonum,Yosemite National Park,154
18006,Dipsacus fullonum,Great Smoky Mountains National Park,74
18541,Dipsacus fullonum,Yosemite National Park,167
22406,Dipsacus fullonum,Great Smoky Mountains National Park,39
12078,Dirca palustris,Yellowstone National Park,236
12503,Dirca palustris,Yosemite National Park,154
13713,Dirca palustris,Bryce National Park,78
19033,Dirca palustris,Great Smoky Mountains National Park,93
10230,Disporum hookeri,Yosemite National Park,139
11250,Disporum hookeri,Yellowstone National Park,242
14196,Disporum hookeri,Bryce National Park,92
20787,Disporum hookeri,Great Smoky Mountains National Park,47
3843,Distichlis spicata,Great Smoky Mountains National Park,84
4631,Distichlis spicata,Bryce National Park,103
8746,Distichlis spicata,Yosemite National Park,147
9776,Distichlis spicata,Yellowstone National Park,241
1939,Ditrichum lineare,Yellowstone National Park,255
7405,Ditrichum lineare,Yosemite National Park,163
8639,Ditrichum lineare,Bryce National Park,46
23081,Ditrichum lineare,Great Smoky Mountains National Park,63
1397,Ditrichum pallidum,Great Smoky Mountains National Park,69
4014,Ditrichum pallidum,Yellowstone National Park,267
4126,Ditrichum pallidum,Yosemite National Park,130
21609,Ditrichum pallidum,Bryce National Park,121
295,Ditrichum pusillum,Yosemite National Park,160
2529,Ditrichum pusillum,Bryce National Park,115
14617,Ditrichum pusillum,Great Smoky Mountains National Park,98
23271,Ditrichum pusillum,Yellowstone National Park,235
13191,Ditrichum rhynchostegium,Bryce National Park,94
19510,Ditrichum rhynchostegium,Yosemite National Park,153
21121,Ditrichum rhynchostegium,Yellowstone National Park,232
21447,Ditrichum rhynchostegium,Great Smoky Mountains National Park,81
1705,Dodecatheon alpinum,Great Smoky Mountains National Park,85
3513,Dodecatheon alpinum,Yellowstone National Park,206
14657,Dodecatheon alpinum,Bryce National Park,99
19371,Dodecatheon alpinum,Yosemite National Park,159
1399,Dodecatheon conjugens,Great Smoky Mountains National Park,75
8777,Dodecatheon conjugens,Yosemite National Park,152
17164,Dodecatheon conjugens,Yellowstone National Park,240
22169,Dodecatheon conjugens,Bryce National Park,89
3143,Dodecatheon hendersonii,Yellowstone National Park,268
3367,Dodecatheon hendersonii,Yosemite National Park,161
10985,Dodecatheon hendersonii,Great Smoky Mountains National Park,26
22469,Dodecatheon hendersonii,Bryce National Park,101
424,Dodecatheon jeffreyi,Bryce National Park,118
11820,Dodecatheon jeffreyi,Yosemite National Park,128
14521,Dodecatheon jeffreyi,Yellowstone National Park,225
16098,Dodecatheon jeffreyi,Great Smoky Mountains National Park,61
8245,Dodecatheon meadia,Bryce National Park,116
12653,Dodecatheon meadia,Great Smoky Mountains National Park,63
13303,Dodecatheon meadia,Yellowstone National Park,269
19176,Dodecatheon meadia,Yosemite National Park,185
2550,Dodecatheon pulchellum var. pulchellum,Great Smoky Mountains National Park,45
13898,Dodecatheon pulchellum var. pulchellum,Yellowstone National Park,254
14215,Dodecatheon pulchellum var. pulchellum,Bryce National Park,98
20551,Dodecatheon pulchellum var. pulchellum,Yosemite National Park,160
174,Dodecatheon subalpinum,Yellowstone National Park,206
2698,Dodecatheon subalpinum,Yosemite National Park,149
8022,Dodecatheon subalpinum,Bryce National Park,114
13807,Dodecatheon subalpinum,Great Smoky Mountains National Park,71
38,Doellingeria infirma,Yellowstone National Park,262
238,Doellingeria infirma,Great Smoky Mountains National Park,68
12536,Doellingeria infirma,Yosemite National Park,166
22202,Doellingeria infirma,Bryce National Park,104
1169,Doellingeria umbellata var. umbellata,Great Smoky Mountains National Park,72
2212,Doellingeria umbellata var. umbellata,Yellowstone National Park,220
4797,Doellingeria umbellata var. umbellata,Bryce National Park,109
8375,Doellingeria umbellata var. umbellata,Yosemite National Park,159
10754,Dolichonyx oryzivorus,Yellowstone National Park,256
11194,Dolichonyx oryzivorus,Great Smoky Mountains National Park,61
12268,Dolichonyx oryzivorus,Yosemite National Park,127
15545,Dolichonyx oryzivorus,Bryce National Park,101
2852,Dorosoma cepedianum,Bryce National Park,98
6465,Dorosoma cepedianum,Yosemite National Park,116
14240,Dorosoma cepedianum,Yellowstone National Park,267
19847,Dorosoma cepedianum,Great Smoky Mountains National Park,52
3146,Douglasia montana,Bryce National Park,75
12711,Douglasia montana,Great Smoky Mountains National Park,47
14535,Douglasia montana,Yellowstone National Park,236
21575,Douglasia montana,Yosemite National Park,117
7915,Downingia montana,Yosemite National Park,141
14545,Downingia montana,Great Smoky Mountains National Park,64
21763,Downingia montana,Bryce National Park,94
22523,Downingia montana,Yellowstone National Park,259
5600,Draba albertina,Yellowstone National Park,239
16120,Draba albertina,Yosemite National Park,191
17113,Draba albertina,Bryce National Park,88
23270,Draba albertina,Great Smoky Mountains National Park,93
603,Draba aurea,Yellowstone National Park,242
5720,Draba aurea,Great Smoky Mountains National Park,66
15515,Draba aurea,Yosemite National Park,157
16206,Draba aurea,Bryce National Park,100
7107,Draba borealis,Great Smoky Mountains National Park,59
7529,Draba borealis,Yellowstone National Park,248
12676,Draba borealis,Bryce National Park,97
20373,Draba borealis,Yosemite National Park,131
10022,Draba brachycarpa,Yellowstone National Park,266
11032,Draba brachycarpa,Great Smoky Mountains National Park,100
12266,Draba brachycarpa,Yosemite National Park,112
23063,Draba brachycarpa,Bryce National Park,86
5414,Draba breweri,Yellowstone National Park,238
5833,Draba breweri,Great Smoky Mountains National Park,97
13881,Draba breweri,Bryce National Park,100
